Respondent,O1,,O2,,O3,,O4,,O5,
R1,5,0,4,2,5,1,5,1,5,0
R2,4,0,4,1,4,1,5,0,5,0
R3,5,1,5,2,4,2,4,1,4,1
R4,3,0,2,2,4,0,4,0,5,0
R5,3,0,3,0,2,0,2,0,3,0
R6,5,1,5,2,4,1,4,1,5,1
R7,2,2,4,0,2,2,2,2,1,1
R8,4,1,2,0,1,1,1,0,5,0
R9,4,0,4,0,4,0,4,0,5,0
R10,3,0,3,0,2,0,2,0,4,0
R11,3,0,2,2,3,0,1,0,2,1
R12,2,1,1,2,3,0,2,1,3,0
R13,5,0,4,1,5,0,4,0,5,1
R14,4,1,4,1,4,1,4,1,4,0
R15,5,0,3,0,2,0,2,0,4,0
R16,4,1,3,0,4,1,5,1,4,0
R17,1,1,2,2,3,2,3,2,1,1
R18,3,0,4,1,1,2,1,0,3,0
R19,4,2,2,1,1,1,1,1,2,1
R20,2,1,2,2,5,2,5,2,3,0
R21,4,0,4,0,4,0,5,0,5,0
R22,4,0,4,0,4,0,4,0,4,0
R23,2,1,4,1,2,1,3,1,2,2
R24,5,0,2,0,3,0,2,0,4,0
R25,3,0,2,1,3,0,3,1,2,0
R26,4,0,3,0,4,0,5,0,4,0
R27,5,0,3,0,4,1,4,1,5,0
R28,5,1,2,1,5,1,4,0,5,0
R29,4,1,4,1,1,1,2,1,4,1
R30,3,0,4,1,2,0,2,2,2,1
R31,3,0,3,0,4,0,5,0,2,0
